id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
2,329353.6292975,217.78349997475743,0,1,0.4642323025672498,0.5880829589443063,1.2388615445887934,0.9678853680864972,3d gaze,-12.347013257806694,-14.90324011940868,154.76171455502785,329353.6292975 329353.6318005 329353.6343035 329353.63680700003 329353.6393105 329353.64181349997 329353.6443165 329353.64682 329353.6493235 329353.65182649996 329353.6543295 329353.656833 329353.6593365 329353.66183949995 329353.664343 329353.6668465 329353.671853 329353.67435650004 329353.6768595 329353.67936249997 329353.681866 329353.6843695 329353.6868725 329353.691879 329353.6943825 329353.6968855 329353.6993885 329353.70189200004 329353.7043955 329353.7068985 329353.714408 329353.71691149997 329353.721918 329353.7244215 329353.72692449996 329353.7294275 329353.731931 329353.7344345 329353.741944 329353.7469505 329353.76197 329353.77699000004 329353.7794935 329353.7819965 329353.7844995 329353.78700300003 329353.7920095 329353.7945125 329353.797016 329353.7995195 329353.80202249996 329353.8045255 329353.807029 329353.8095325 329353.81203549996 329353.81453850004 329353.817042 329353.8195455 329353.8220485 329353.82455150003 329353.827055 329353.8295585 329353.8320615 329353.83957099996 329353.8445775 329353.847081
3,329353.8495845,142.6859999774024,1,3,0.45220138909617796,0.6008539011713447,1.0018469124779923,0.989386261287357,3d gaze,-15.282994775465674,-16.74477203268101,154.72124511514812,329353.8495845 329353.85208750004 329353.8545905 329353.857094 329353.8595975 329353.86210050003 329353.864604 329353.8671075 329353.8696105 329353.872114 329353.8746175 329353.879624 329353.882127 329353.8871335 329353.88963650004 329353.89214 329353.8946435 329353.8971465 329353.89964950003 329353.902153 329353.9046565 329353.9071595 329353.9096625 329353.912166 329353.91466949997 329353.9171725 329353.9196755 329353.922179 329353.9271855 329353.9296885 329353.932192 329353.9346955 329353.93719850003 329353.9397015 329353.94220499997 329353.9447085 329353.9472115 329353.9497145 329353.95221799996 329353.9547215 329353.9572245 329353.959728 329353.96223149996 329353.96473450004 329353.967238 329353.9697415 329353.9722445 329353.97474750003 329353.977251 329353.9797545 329353.9822575 329353.9847605 329353.9922705
4,329354.2400935,217.78399997856468,10,17,0.4499159268627787,0.6185209769939535,1.4132714085849045,0.9451362525142145,3d gaze,-16.638742114802923,-20.200096359756834,162.2076645605484,329354.2400935 329354.2451 329354.247603 329354.26512600004 329354.267629 329354.2726355 329354.27513900003 329354.2776425 329354.2801455 329354.285152 329354.29015849996 329354.292662 329354.2951655 329354.2976685 329354.3001715 329354.30267500004 329354.3051785 329354.3076815 329354.3101845 329354.31268800003 329354.3151915 329354.3176945 329354.322701 329354.3252045 329354.32770749996 329354.3302105 329354.33772049996 329354.340224 329354.342727 329354.3452305 329354.35023700004 329354.35274 329354.36025 329354.36776 329354.3702635 329354.3727665 329354.3752695 329354.37777300004 329354.3802765 329354.385283 329354.38778600004 329354.395296 329354.4003025 329354.40280549997 329354.407812 329354.4103155 329354.41281849996 329354.41532150004 329354.417825 329354.4228315 329354.42533450003 329354.427838 329354.4303415 329354.4328445 329354.4353475 329354.437851 329354.44035449997 329354.4428575 329354.447864 329354.45036749996 329354.455374 329354.4578775
5,329354.4603805,217.78400003677234,17,23,0.4465183140726153,0.6173197723472765,0.660804907250468,0.9988608200641304,3d gaze,-17.19117185212068,-19.667667089633703,159.35624281337104,329354.4603805 329354.46288350003 329354.465387 329354.4678905 329354.4754 329354.47790349997 329354.48291 329354.4879165 329354.49041950004 329354.495426 329354.502936 329354.5054395 329354.5079425 329354.5104455 329354.512949 329354.5179555 329354.5204585 329354.522962 329354.52546549996 329354.52796850004 329354.5304715 329354.532975 329354.5354785 329354.53798150003 329354.5404845 329354.542988 329354.5454915 329354.5479945 329354.5504975 329354.55300099996 329354.5555045 329354.5580075 329354.560511 329354.56301449996 329354.56551750004 329354.568021 329354.5705245 329354.5730275 329354.57553050003 329354.580537 329354.5830405 329354.5930535 329354.59806 329354.60056349996 329354.60306650004 329354.608073 329354.6105765 329354.61307950004 329354.6155825 329354.618086 329354.6205895 329354.6230925 329354.6255955 329354.62809899997 329354.6306025 329354.635609 329354.63811199996 329354.6431185 329354.6456215 329354.648125 329354.65062850004 329354.6531315 329354.65563449997 329354.658138 329354.663145 329354.66564799997 329354.6681515 329354.6706545 329354.675661 329354.67816450004
6,329354.6806675,217.78399997856468,23,30,0.44290755857534037,0.6125415413868087,0.579348598394095,0.9989175087268817,3d gaze,-17.791656995553225,-18.661575043900942,156.7145899997977,329354.6806675 329354.683171 329354.6856745 329354.68817750004 329354.6906805 329354.693184 329354.6956875 329354.6981905 329354.70319699997 329354.7057005 329354.7082035 329354.7107065 329354.71320999996 329354.7157135 329354.7182165 329354.7207195 329354.723223 329354.72572650004 329354.7282295 329354.7307325 329354.733236 329354.7357395 329354.7382425 329354.74074549996 329354.743249 329354.7457525 329354.7482555 329354.7507585 329354.75326200004 329354.7557655 329354.7582685 329354.760772 329354.76327550004 329354.7657785 329354.768282 329354.7707855 329354.77328850003 329354.7757915 329354.77829499997 329354.7807985 329354.7833015 329354.7858045 329354.78830799996 329354.7908115 329354.7933145 329354.7958175 329354.798321 329354.80082450004 329354.8033275 329354.8058305 329354.808334 329354.81083750003 329354.8133405 329354.81584349996 329354.818347 329354.8208505 329354.8233535 329354.8258565 329354.82836000004 329354.8308635 329354.8333665 329354.8358695 329354.83837300004 329354.8408765 329354.8433795 329354.8458825 329354.848386 329354.8508895 329354.85339249996 329354.8558955 329354.860902 329354.86340549996 329354.865909 329354.8684125 329354.8709155 329354.873419 329354.87592250004 329354.8784255 329354.8809285 329354.883432 329354.88593550003 329354.8884385 329354.89094149997 329354.893445 329354.8959485 329354.8984515
7,329355.06366650003,80.10449993889779,35,37,0.36248400190836594,0.5447804236676803,1.4548834830409558,0.9961192403684926,3d gaze,-36.46819842995909,-8.730907043302086,150.0262216185087,329355.06366650003 329355.06617 329355.0686735 329355.0711765 329355.07368000003 329355.0761835 329355.07868649997 329355.0811895 329355.083693 329355.0861965 329355.08869949996 329355.0912025 329355.093706 329355.0962095 329355.0987125 329355.10121550004 329355.103719 329355.1062225 329355.1087255 329355.1112285 329355.113732 329355.11623549997 329355.1187385 329355.1212415 329355.123745 329355.12624849996 329355.12875150004 329355.1312545 329355.133758 329355.1362615 329355.13876450004 329355.1412675 329355.143771
8,329355.1462745,217.78400003677234,37,44,0.36642222507130884,0.5377321789622612,1.4300682828285323,0.9910495807887328,3d gaze,-35.1220224138042,-7.671778431158407,148.60284895977955,329355.1462745 329355.1487775 329355.1512805 329355.15378399997 329355.1562875 329355.1587905 329355.161294 329355.16379749996 329355.1663005 329355.1688035 329355.171307 329355.17381049995 329355.17631350004 329355.178817 329355.1813205 329355.1838235 329355.1863265 329355.18883 329355.19133349997 329355.1938365 329355.1963395 329355.198843 329355.20134649996 329355.20384950005 329355.2063525 329355.208856 329355.2113595 329355.21386250004 329355.2163655 329355.218869 329355.2213725 329355.2238755 329355.2263785 329355.22888199997 329355.2313855 329355.2338885 329355.23889499996 329355.2413985 329355.2439015 329355.2464045 329355.248908 329355.25141150004 329355.2539145 329355.26142450003 329355.263928 329355.26643099997 329355.2689345 329355.2714375 329355.273941 329355.27644449996 329355.27894750005 329355.2814505 329355.283954 329355.2864575 329355.291464 329355.293967 329355.2964705 329355.29897350003 329355.3014765 329355.30397999997 329355.3064835 329355.3089865 329355.3114895 329355.31399299996 329355.3164965 329355.3189995 329355.324006 329355.32650950004 329355.3290125 329355.3315155 329355.334019 329355.33652250003 329355.3390255 329355.34152849996 329355.344032 329355.3465355 329355.3490385 329355.3515415 329355.35404500004 329355.3565485 329355.3590515 329355.361555 329355.36405850004
9,329355.3665615,217.78399997856468,44,50,0.36361921676455466,0.54483617960568,0.6603368356608353,0.9824224729503225,3d gaze,-36.00845319336944,-8.69572815073573,149.33068774051577,329355.3665615 329355.369065 329355.3715685 329355.37407150003 329355.3765745 329355.37907799997 329355.3815815 329355.3840845 329355.3865875 329355.38909099996 329355.3915945 329355.3940975 329355.3966005 329355.399104 329355.40160750004 329355.4041105 329355.4066135 329355.409117 329355.41162050003 329355.4141235 329355.41662649997 329355.41913 329355.4216335 329355.4241365 329355.42663949996 329355.429143 329355.4316465 329355.4341495 329355.4366525 329355.43915600004 329355.4416595 329355.4441625 329355.4466655 329355.449169 329355.4516725 329355.45417549997 329355.456679 329355.4591825 329355.4616855 329355.466692 329355.4691955 329355.4716985 329355.474202 329355.4792085 329355.4817115 329355.484215 329355.48671850003 329355.4892215 329355.49172449997 329355.494228 329355.4967315 329355.4992345 329355.50173749996 329355.504241 329355.5067445 329355.5092475 329355.51425400004 329355.5167575 329355.5192605 329355.5217635 329355.52426700003 329355.5267705 329355.52927349997 329355.53428 329355.5367835 329355.53928649996 329355.54178950004 329355.544293 329355.5467965 329355.5492995 329355.55180250003 329355.554306 329355.5568095 329355.5593125 329355.56181600003 329355.5643195 329355.56682249997 329355.569326 329355.5718295 329355.5743325 329355.57683549996 329355.579339 329355.5818425 329355.5843455
10,329355.5868485,217.78400003677234,50,57,0.3637323372461749,0.5400258690422596,0.36331111306187563,0.9901938771998997,3d gaze,-35.92329415105045,-8.016886082178477,149.12819630634888,329355.5868485 329355.58935200004 329355.5918555 329355.5943585 329355.5968615 329355.59936500003 329355.6018685 329355.60437149997 329355.6068745 329355.609378 329355.6118815 329355.61438449996 329355.6168875 329355.619391 329355.6218945 329355.62439749995 329355.62690050004 329355.629404 329355.6319075 329355.6344105 329355.6369135 329355.639417 329355.64192049997 329355.6444235 329355.6469265 329355.64943 329355.65193349996 329355.65443650004 329355.659443 329355.6619465 329355.66444950004 329355.666953 329355.6694565 329355.6719595 329355.67446300003 329355.6769665 329355.67946949997 329355.6819725 329355.684476 329355.6869795 329355.68948249996 329355.6919855 329355.694489 329355.6969925 329355.69949549995 329355.70199850004 329355.704502 329355.7070055 329355.7095085 329355.7120115 329355.714515 329355.71701849997 329355.7195215 329355.7220245 329355.724528 329355.72703149996 329355.732038 329355.734541 329355.7370445 329355.73954750004 329355.7420505 329355.744554 329355.7470575 329355.74956050003 329355.7520635 329355.75456699997 329355.759574 329355.762077 329355.76458049996 329355.7670835 329355.769587 329355.7720905 329355.77459349995 329355.77709650004 329355.7796 329355.7821035 329355.7846065 329355.78710950003 329355.789613 329355.7921165 329355.797123 329355.799626 329355.80212949996 329355.80463250005
11,329355.86721399997,217.78400003677234,59,65,0.4516731853456528,0.5900895241267201,0.8128063171826517,0.9773377919766008,3d gaze,-15.66558746751435,-15.46784732732883,157.3895315109029,329355.86721399997 329355.872221 329355.874724 329355.8797305 329355.884737 329355.8872405 329355.892247 329355.8972535 329355.89975650003 329355.9022595 329355.907266 329355.9097695 329355.91477599996 329355.9172795 329355.9197825 329355.9222855 329355.924789 329355.92729250004 329355.9297955 329355.9322985 329355.934802 329355.9398085 329355.94231149997 329355.944815 329355.9473185 329355.9498215 329355.964841 329355.972351 329355.9773575 329355.97986099997 329355.9823645 329355.987371 329355.9923775 329355.9948805 329355.9973835 329355.999887 329356.00239050004 329356.0048935 329356.019913 329356.0249195 329356.02742299996 329356.029926 329356.0324295 329356.0349325 329356.042442 329356.0449455 329356.04995200003 329356.05495849997 329356.0574615 329356.059965 329356.0624685 329356.06497149996 329356.067475 329356.0699785 329356.0724815 329356.074985 329356.07748850004 329356.0799915 329356.0824945 329356.084998
